Cекс по телефону,Анилингус вам (мужчине),Анилингус мне (даме),Бандаж,Виртуальный секс,Госпожа,Золотой дождь вам (мужчине),Золотой дождь мне (даме),Игрушки,Игры,Клизма,Копро вам (мужчине),Куннилингус,Легкая доминация,Легкое подчинение,Лесби откровенное,Лесби-шоу легкое,Массаж классический,Массаж профессиональный,Массаж расслабляющий,Массаж урологический,Массаж эротический,Минет без резинки,Минет в машине,Минет в презервативе,Минет глубокий,Окончание в рот,Окончание на грудь,Окончание на лицо,Порка,Рабыня,Ролевые игры,Секс анальный,Секс групповой,Секс классический,Секс лесбийский,Страпон,Стриптиз не профи,Стриптиз профи,Трамплинг,Услуги семейной паре,Фетиш,Фингеринг,Фистинг анальный мне (даме),Фистинг анальный мужчине,Фистинг классический,Фото/видео съемка,Эскорт,Id
No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Comment,Yes,No,No,Yes,No,No,Comment,Yes,Yes,No,No,Yes,No,Yes,309129
No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Comment,No,Yes,No,No,Yes,Comment,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,317225
No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Comment,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Comment,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,262011
No,Comment,Comment,No,No,No,No,No,No,No,No,No,Comment,No,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,No,Comment,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,93920
No,No,Comment,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Comment,No,Yes,No,No,No,No,No,No,No,Comment,Comment,Yes,No,Comment,No,No,No,No,No,No,No,No,Comment,Comment,No,322609
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Comment,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Comment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,322469
No,No,No,No,No,No,Comment,No,Comment,Comment,No,No,Comment,Comment,No,No,No,No,No,Yes,No,Comment,Comment,Comment,Yes,Comment,Comment,Yes,Comment,No,No,Comment,No,Comment,Yes,No,Comment,No,No,Comment,Comment,Comment,Comment,No,No,Comment,No,Comment,322239
No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,Comment,Yes,Yes,Yes,Yes,Yes,Yes,Comment,No,Yes,Comment,Comment,Yes,Comment,No,No,Yes,Comment,Comment,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,No,322486
No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,304241
No,No,No,No,No,No,Comment,No,No,No,No,No,Comment,No,No,No,No,No,No,No,Comment,Comment,Comment,No,Yes,No,Comment,Yes,Comment,No,No,No,Comment,No,Yes,No,Comment,No,No,No,No,No,No,No,No,No,No,No,323283
Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,230014
No,No,No,No,No,No,Comment,No,Comment,Comment,No,No,Yes,Comment,No,No,Comment,Yes,No,Comment,No,Comment,Comment,No,Yes,Comment,Comment,Comment,Comment,No,No,Comment,No,No,Yes,Comment,No,No,No,No,No,No,No,No,No,No,Comment,No,319387
No,Comment,No,No,No,No,Comment,No,Comment,No,No,No,Yes,Comment,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,246287
Yes,Comment,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Comment,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Comment,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,318079
No,No,Yes,No,No,No,Yes,Comment,Yes,Comment,No,No,Comment,Yes,No,No,Comment,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Yes,No,Yes,Comment,No,No,Comment,No,Comment,Yes,Comment,No,Yes,No,Comment,No,Comment,Comment,No,Comment,No,No,No,193816
No,No,No,No,No,Comment,Comment,No,Comment,Comment,No,No,Yes,Yes,No,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,No,Yes,Yes,No,Yes,No,Comment,No,Comment,Comment,Comment,Yes,Comment,Comment,No,No,No,Comment,No,No,No,No,No,No,No,268965
No,No,No,No,Comment,No,Comment,No,No,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Comment,No,Yes,No,No,Yes,No,Comment,No,No,Comment,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Comment,Comment,318438
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Comment,No,No,Yes,Yes,Comment,No,No,No,Comment,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,322661
No,Comment,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Comment,Comment,Yes,Comment,Yes,No,Yes,Yes,Comment,Yes,Comment,No,Yes,Comment,No,Yes,111041
No,No,Yes,Yes,No,No,No,No,Yes,Yes,Comment,No,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Comment,Yes,No,No,No,Yes,Yes,Yes,Comment,Yes,Yes,No,323746
No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,292770
No,No,No,No,No,No,Comment,No,No,No,No,No,Yes,Comment,Comment,No,Comment,Yes,No,Yes,No,Yes,Comment,No,Yes,Yes,Comment,Yes,Comment,No,Comment,No,No,Comment,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,324916
No,No,No,No,No,No,Comment,No,Yes,Yes,No,No,Yes,Yes,Comment,No,No,Yes,Comment,Yes,Yes,Yes,Comment,No,Yes,Yes,Comment,Yes,Yes,Yes,No,Yes,Comment,No,Yes,No,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Comment,285702
No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Comment,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,Yes,267561
No,Yes,Yes,Yes,No,Yes,Yes,Comment,Yes,Yes,Yes,Comment,Yes,Yes,Yes,Comment,Comment,Yes,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Yes,Yes,Yes,Yes,Comment,Yes,Comment,Comment,Yes,Comment,Comment,Yes,No,Yes,Comment,Yes,Yes,Comment,Comment,Comment,Comment,Yes,317784
No,Comment,Comment,No,No,No,Comment,No,Comment,Comment,No,No,Comment,Comment,Comment,No,No,No,No,Yes,Comment,Yes,Comment,No,Yes,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,No,Yes,No,Comment,No,No,No,No,Comment,No,No,No,No,No,No,321969
No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Comment,Comment,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,323535
No,No,Yes,No,No,No,Comment,No,No,No,No,No,Yes,Comment,No,No,No,Yes,No,Yes,Comment,Yes,Comment,Yes,Yes,Comment,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,Comment,No,Comment,No,No,No,No,No,Comment,324058
No,No,No,No,No,No,No,No,No,No,No,No,Comment,Comment,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Comment,Comment,No,No,No,No,No,Yes,Comment,No,No,No,No,No,No,No,No,No,No,No,Yes,258147
No,Comment,Comment,No,No,No,Comment,Comment,Comment,Comment,Comment,No,Yes,Comment,No,No,No,No,No,No,Comment,No,Comment,No,Yes,No,No,Yes,No,No,No,No,Comment,No,Yes,No,Comment,No,No,No,No,Comment,No,Comment,Comment,Comment,No,No,320961
No,Comment,Yes,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Yes,Comment,No,No,Yes,Comment,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,322798
No,No,Yes,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Comment,No,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,No,No,302803
No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,Comment,Yes,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,305458
No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,304437
No,No,No,No,No,No,No,No,No,No,No,No,Comment,No,No,Comment,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Comment,No,Yes,Comment,No,No,No,No,Comment,No,No,No,Comment,No,No,No,307468
No,No,No,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,312435
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,Yes,Comment,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Comment,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,230735
No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,323036
No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,222497
No,No,No,No,No,No,No,No,Yes,No,No,No,Comment,No,No,No,No,No,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Yes,Yes,No,No,Yes,Comment,No,Yes,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,317708
Comment,No,Yes,Comment,Comment,Yes,Comment,No,Comment,Yes,No,No,Yes,Yes,Yes,No,No,Comment,No,Comment,Comment,Yes,Comment,No,Yes,Yes,Comment,Comment,Comment,Yes,Comment,Yes,Comment,Comment,Yes,No,Comment,Yes,No,Yes,No,Yes,No,No,Comment,No,Comment,Yes,300027
No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,297089
No,No,No,No,Comment,Comment,No,No,Comment,No,No,No,Yes,Yes,No,No,No,Yes,No,No,Comment,Comment,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Comment,No,Comment,No,Yes,No,Yes,No,No,Comment,No,Yes,No,No,No,Comment,No,Comment,271688
No,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Comment,No,Yes,Comment,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,Yes,Comment,Comment,194141
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Comment,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,316568
No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,318570
No,No,No,No,No,No,Comment,No,Comment,No,No,No,Yes,Comment,No,No,No,Comment,No,Yes,No,Yes,Comment,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,Comment,No,No,No,No,Comment,No,No,No,No,No,No,302769
No,No,No,No,No,Comment,No,No,No,No,No,No,Yes,Comment,No,No,No,Yes,Comment,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Comment,Comment,No,No,Comment,No,Comment,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Comment,272248
No,No,No,No,No,No,No,No,No,No,No,No,Comment,Comment,No,No,Comment,Yes,No,Yes,No,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,Yes,No,No,Comment,No,No,No,No,No,No,No,No,No,No,323033
No,Comment,Comment,No,No,Comment,Comment,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Comment,Yes,Yes,No,No,Comment,Comment,Comment,Yes,No,Comment,Yes,No,No,Comment,No,No,No,No,Yes,No,Yes,307641
Comment,No,No,No,No,No,No,No,Comment,No,No,No,Comment,Comment,No,Comment,Comment,Yes,No,Yes,No,No,Comment,No,Yes,No,No,Comment,Comment,No,No,No,Comment,No,Yes,Comment,No,No,No,No,No,No,No,No,Comment,Comment,No,Comment,316389
No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,227777
No,Comment,No,Comment,No,Comment,Comment,No,Yes,Comment,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,No,No,Comment,Yes,Yes,Yes,Yes,Comment,No,Yes,Comment,Comment,Yes,Comment,Comment,Yes,No,Comment,Comment,Comment,No,No,No,Yes,No,Yes,307059
No,No,No,No,Comment,No,No,No,No,No,No,No,Comment,No,No,No,Comment,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes,Comment,No,No,No,No,No,No,No,No,No,No,No,Comment,325078
Comment,Comment,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,Yes,Yes,122651
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,311641
No,No,No,No,No,No,No,No,No,No,No,No,Comment,Comment,No,No,No,Comment,No,No,Comment,No,Comment,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,Comment,No,No,No,Comment,No,No,No,No,No,No,No,300178
Comment,Comment,Comment,Comment,Comment,Comment,Comment,No,Comment,Comment,No,No,Comment,Comment,Comment,No,Comment,Comment,No,Comment,Comment,Comment,Comment,No,Yes,Comment,Comment,Yes,Comment,No,No,Comment,No,Comment,Yes,Comment,Comment,Comment,No,No,Comment,Comment,No,Comment,Comment,Comment,Comment,Comment,322180
No,No,Yes,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Comment,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Comment,Comment,Yes,Yes,No,No,No,Yes,Comment,Yes,Yes,No,Yes,No,No,Yes,312957
No,No,Yes,No,No,No,Comment,No,Comment,No,No,No,Comment,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Comment,No,Yes,Comment,Comment,Yes,Comment,No,No,Yes,No,No,Yes,Comment,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No,324018
No,Comment,No,No,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Comment,No,Yes,No,Comment,Yes,Comment,No,No,No,Comment,No,Yes,No,Yes,No,No,No,No,No,No,No,No,Comment,No,Yes,186961
No,No,Comment,Comment,No,Comment,Comment,No,Comment,Comment,No,No,Comment,Comment,No,Comment,Comment,No,No,Yes,Yes,No,Comment,No,Yes,No,No,Comment,No,Comment,No,Comment,No,Comment,Yes,Yes,Comment,Comment,No,No,Yes,No,No,No,Comment,Comment,No,No,324056
No,Yes,Yes,Yes,No,Yes,Yes,Comment,Yes,Yes,No,No,Yes,Yes,No,Comment,Comment,Yes,No,Yes,No,Yes,Comment,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Comment,Yes,Comment,Comment,Yes,Comment,Yes,Yes,No,No,Comment,Yes,Yes,No,Yes,No,No,Comment,233315
No,No,No,No,No,No,Comment,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,Comment,Comment,No,Yes,Yes,Yes,Yes,Yes,No,No,Comment,Comment,Comment,Yes,No,No,Comment,No,No,No,No,No,No,No,No,No,No,286000
No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,268040
No,No,No,No,No,Yes,No,No,Comment,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Comment,No,No,Yes,Yes,No,Comment,Yes,Comment,Comment,Yes,No,No,Comment,No,No,No,No,No,No,Yes,324719
No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Comment,No,Yes,No,No,Yes,Comment,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,307686
No,No,No,No,No,Comment,Comment,No,No,Comment,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,Comment,No,Yes,Yes,No,Yes,No,Comment,No,Yes,No,No,Yes,No,Comment,Yes,No,No,No,Yes,No,No,No,No,No,Comment,293991
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Comment,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,324875
Comment,No,No,No,Comment,No,Yes,No,Comment,Comment,No,No,Yes,Yes,Yes,Comment,Comment,Yes,No,Yes,Yes,Yes,Comment,Comment,Yes,Yes,Comment,Yes,Yes,Comment,Yes,Yes,Comment,Comment,Yes,Comment,Comment,Yes,Yes,No,Comment,Yes,No,No,No,No,Yes,Yes,228291
Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Comment,Comment,Yes,No,Yes,No,Yes,No,Yes,Comment,Yes,Comment,No,Yes,Comment,Comment,Yes,No,Yes,No,Yes,Comment,Comment,Yes,Comment,Yes,Yes,No,Comment,Comment,Yes,Yes,No,Yes,Yes,No,Yes,311321
No,No,No,No,No,Comment,No,No,Comment,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Comment,Yes,Yes,Yes,No,Yes,No,No,No,Comment,No,Comment,Yes,Comment,No,Yes,No,No,Comment,No,No,No,No,No,No,No,322864
No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,Comment,Yes,Comment,Yes,Comment,No,Yes,No,No,Yes,No,No,No,No,Comment,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,322575
No,No,Yes,No,No,No,Comment,No,Yes,No,No,No,Yes,Comment,No,No,Yes,Yes,No,Yes,Comment,Yes,Comment,Yes,Yes,Comment,No,Yes,No,No,No,No,No,Comment,Yes,No,Comment,Yes,No,Comment,No,Comment,No,No,No,Comment,No,Comment,321325
No,No,Yes,No,No,Comment,Comment,Comment,Comment,Comment,No,No,Yes,Comment,Comment,No,Comment,Yes,No,Yes,No,Yes,Comment,No,Comment,No,Yes,Yes,Yes,No,No,Yes,No,Comment,Yes,Comment,No,Yes,No,No,Comment,Comment,No,No,No,No,No,Comment,323180
