Апартаменты-1 час,Апартаменты-2 часа,Апартаменты-Ночь,Выезд-1 час,Выезд-2 часа,Выезд-Ночь,Id,Комментарий к ценам
5 000 р.,10 000 р.,25 000 р.,-,11 000 р.,26 000 р.,322798,Контактов в час: неограничено.
5 000 р.,10 000 р.,25 000 р.,,,,302803,Контактов в час: неограничено.
2 000 р.,4 000 р.,10 000 р.,,,,305458,
,,,3 000 р.,4 500 р.,8 000 р.,304437,
4 000 р.,7 000 р.,-,,,,307468,
,,,3 500 р.,6 000 р.,9 000 р.,312435,
,,,-,6 000 р.,15 000 р.,230735,
4 000 р.,8 000 р.,20 000 р.,-,10 000 р.,25 000 р.,323036,Контактов в час: до 2.
2 000 р.,4 000 р.,14 000 р.,4 000 р.,6 000 р.,15 000 р.,222497,Контактов в час: до 2.Постоянным клиентам по договоренности
3 000 р.,6 000 р.,14 000 р.,,,,317708,Контактов в час: до 2.
6 000 р.,15 000 р.,50 000 р.,-,-,50 000 р.,300027,"Контактов в час: до 2.Звоните когда вам удобно, лучше заранее.. SEX_VIRT_SKYPE ПО ТЕЛЕФОНУ СМС ПЕРЕПИСКИ НЕ ВЕДУ!ЗВОНИ ВСЕ ВОПРОСЫ ТОЛЬКО ПО ТЕЛЕФОНУ!!!!!!!!!"
5 000 р.,10 000 р.,-,-,10 000 р.,25 000 р.,297089,Контактов в час: неограничено.Выезд от двух часиков + такси
10 000 р.,20 000 р.,60 000 р.,24 000 р.,60 000 р.,,271688,Контактов в час: неограничено.Внеплановые встречи в ночное время (с двух до восьми ) оплачиваются по двойному тарифу.
4 000 р.,6 000 р.,-,8 000 р.,-,,194141,Контактов в час: неограничено.о встрече договариваться заранее выезд только в квартиры и гостиницы по Москве
3 000 р.,5 000 р.,10 000 р.,10 000 р.,-,,316568,Контактов в час: до 2.
,,,2 000 р.,5 000 р.,10 000 р.,318570,Расценки реальные. Если есть вопросы и предложения по цене звоните обсудим.
4 000 р.,8 000 р.,-,10 000 р.,-,,302769,-
2 500 р.,4 000 р.,-,2 000 р.,4 000 р.,12 000 р.,272248,Контактов в час: неограничено.
5 000 р.,10 000 р.,20 000 р.,,,,323033,
,,,7 000 р.,12 000 р.,25 000 р.,307641,Контактов в час: неограничено.
3 000 р.,6 000 р.,16 000 р.,6 000 р.,8 000 р.,18 000 р.,316389,Контактов в час: до 2.
,,,3 000 р.,5 000 р.,-,227777,Договорная цена за ночь
5 000 р.,10 000 р.,25 000 р.,-,12 000 р.,25 000 р.,307059,
,,,12 000 р.,30 000 р.,,325078,Контактов в час: до 2.С Вас оплата такси
5 000 р.,10 000 р.,-,-,10 000 р.,-,122651,
2 500 р.,5 000 р.,10 000 р.,,,,311641,Контактов в час: неограничено.
,,,-,5 000 р.,10 000 р.,300178,
3 000 р.,6 000 р.,20 000 р.,,,,322180,
10 000 р.,20 000 р.,60 000 р.,15 000 р.,25 000 р.,60 000 р.,312957,
5 000 р.,10 000 р.,25 000 р.,,,,324018,Контактов в час: до 2.часик с двумя 10000р
8 000 р.,16 000 р.,-,10 000 р.,-,-,186961,Контактов в час: неограничено.
3 000 р.,5 000 р.,15 000 р.,5 000 р.,10 000 р.,18 000 р.,324056,Контактов в час: до 2.Есть экспресс 1800 и минет 1500
10 000 р.,15 000 р.,70 000 р.,13 000 р.,18 000 р.,70 000 р.,233315,"Контактов в час: неограничено.Можно скинуть на карту Сбера, онлайн ;)"
,,,7 000 р.,10 000 р.,20 000 р.,286000,Контактов в час: неограничено.Уважаемые Господа без стеснения говорите свои предпочтения о встрече по телефону заранее..
15 000 р.,-,-,-,30 000 р.,-,268040,"сохраняйте мой тел, я всегда на связи и жажду разврата;)))"
8 000 р.,16 000 р.,40 000 р.,8 000 р.,16 000 р.,40 000 р.,324719,Контактов в час: неограничено.
2 000 р.,4 000 р.,10 000 р.,5 000 р.,-,,307686,-
3 000 р.,6 000 р.,18 000 р.,,,,293991,
3 000 р.,6 000 р.,20 000 р.,-,10 000 р.,25 000 р.,324875,Контактов в час: до 2.
10 000 р.,20 000 р.,50 000 р.,15 000 р.,20 000 р.,50 000 р.,228291,"Контактов в час: неограничено.Ночные встречи по предварительной договорённости, после 23 с по предоплате на карту. Если мы с Вами ранее не встречались могу в некоторых случаях попросить предоплату на карту 2т. Ценю и уважаю Ваше время и надеюсь это взаимно! Скидок и экспресс -программ не бывает!Просьба такими пожеланиями меня не беспокоить!! До встречи я рада новым знакомствам, Но также и старых друзей не забываю"
-,-,-,3 500 р.,7 000 р.,12 000 р.,311321,Контактов в час: до 2.
4 000 р.,8 000 р.,20 000 р.,-,8 000 р.,20 000 р.,322864,
2 500 р.,5 000 р.,-,,,,322575,Контактов в час: до 2.
2 000 р.,4 000 р.,9 000 р.,-,5 000 р.,10 000 р.,321325,
6 000 р.,12 000 р.,35 000 р.,10 000 р.,18 000 р.,50 000 р.,323180,Контактов в час: неограничено.
3 000 р.,6 000 р.,-,,,,308186,Контактов в час: до 2.
,,,8 000 р.,10 000 р.,35 000 р.,257346,Контактов в час: неограничено.
,,,4 500 р.,7 500 р.,17 500 р.,315099,Контактов в час: неограничено.
2 500 р.,5 000 р.,15 000 р.,-,8 000 р.,20 000 р.,265831,Контактов в час: 1.
2 500 р.,5 000 р.,15 000 р.,6 000 р.,6 000 р.,15 000 р.,311374,Контактов в час: до 2.
3 500 р.,7 000 р.,-,11 000 р.,-,,73866,5 500 р.
2 500 р.,5 000 р.,-,-,6 000 р.,-,303437,Контактов в час: неограничено.
,,,-,7 000 р.,-,262083,Контактов в час: неограничено.
3 000 р.,6 000 р.,-,,,,310639,Контактов в час: до 2.
1 500 р.,3 000 р.,8 000 р.,,,,319100,Контактов в час: неограничено.
5 000 р.,10 000 р.,20 000 р.,-,15 000 р.,30 000 р.,246519,"Выезд по всей Москве, в ближайшее Подмосковье + такси"
10 000 р.,20 000 р.,40 000 р.,-,20 000 р.,40 000 р.,325088,Контактов в час: до 2.
,,,3 000 р.,5 000 р.,7 000 р.,293630,
-,-,-,-,-,-,277190,Контактов в час: неограничено.
2 000 р.,4 000 р.,10 000 р.,-,-,,323677,Контактов в час: неограничено.
3 500 р.,7 000 р.,18 000 р.,5 000 р.,8 000 р.,20 000 р.,320046,Контактов в час: до 2.
,,,8 000 р.,15 000 р.,25 000 р.,323941,
6 000 р.,10 000 р.,-,-,10 000 р.,-,271380,"Контактов в час: неограничено.Все скидки, экспрессы и пожелания обговаривайте пожалуйста со мной заранее по телефону))"
2 000 р.,4 000 р.,10 000 р.,,,,321568,Контактов в час: до 2.
2 500 р.,5 000 р.,10 000 р.,,,,300754,1500 экспресс
2 500 р.,5 000 р.,12 000 р.,2 500 р.,5 000 р.,12 000 р.,318418,
2 000 р.,4 000 р.,13 000 р.,-,6 000 р.,13 000 р.,307096,Контактов в час: до 2.
8 000 р.,-,-,,,,320499,
8 000 р.,15 000 р.,35 000 р.,-,15 000 р.,35 000 р.,227559,Контактов в час: неограничено.Круглосуточно! Выезд по всей Москве и МО только к приличным мужчинам.
2 000 р.,4 000 р.,-,-,5 000 р.,10 000 р.,311440,
3 000 р.,6 000 р.,15 000 р.,,,,316361,
3 000 р.,6 000 р.,12 000 р.,,,,251971,
2 000 р.,4 000 р.,12 000 р.,-,6 000 р.,15 000 р.,316722,Контактов в час: до 2.
2 000 р.,4 000 р.,12 000 р.,,,,311433,
2 500 р.,-,-,,,,308965,Контактов в час: до 2.
4 000 р.,8 000 р.,25 000 р.,10 000 р.,30 000 р.,,298094,Контактов в час: до 2.
,,,5 000 р.,10 000 р.,25 000 р.,267425,Контактов в час: неограничено.
7 000 р.,12 000 р.,30 000 р.,7 000 р.,12 000 р.,30 000 р.,232980,"Контактов в час: неограничено.ВНИМАНИЕ! УЧАСТИЛИСЬ СЛУЧАИ ВОРОВСТВА АНКЕТ! МОЙ РАБОЧИЙ НОМЕР: 8-985-001-34-77 И Я ГАРАНТИРУЮ, ЧТО ПО ЭТОМУ ТЕЛЕФОНУ ИМЕННО Я!"
7 000 р.,14 000 р.,35 000 р.,8 000 р.,16 000 р.,40 000 р.,313230,"Контактов в час: неограничено.Дополнительные услуги, готова обсудить по телефону. Есть программа ВСЕ ВКЛЮЧЕНО - 10000 руб. !"
1 500 р.,3 000 р.,8 000 р.,,,,313579,Контактов в час: неограничено.Доступно и оговаривается очень многое - звоните!
3 000 р.,6 000 р.,12 000 р.,,,,323878,
5 000 р.,10 000 р.,30 000 р.,12 000 р.,30 000 р.,,254592,-
6 000 р.,12 000 р.,-,,,,237672,Контактов в час: неограничено.
-,-,-,5 000 р.,10 000 р.,20 000 р.,217592,Контактов в час: неограничено.Экспресс(20 мин. один контакт) 2000р
2 000 р.,4 000 р.,12 000 р.,,,,324879,Контактов в час: до 2.
2 000 р.,3 500 р.,7 000 р.,,,,280342,Контактов в час: до 2.
15 000 р.,30 000 р.,80 000 р.,15 000 р.,30 000 р.,80 000 р.,313232,
,,,3 000 р.,4 500 р.,8 000 р.,298374,Цена указанная с одной из нас. Услуги такси оплачиваются отдельно
3 000 р.,6 000 р.,18 000 р.,-,7 000 р.,20 000 р.,272986,Контактов в час: неограничено.
10 000 р.,20 000 р.,50 000 р.,-,-,,316497,Контактов в час: неограничено.
,,,-,6 000 р.,15 000 р.,238239,Контактов в час: до 2.
2 500 р.,5 000 р.,10 000 р.,,,,301990,Контактов в час: до 2.
3 000 р.,6 000 р.,-,,,,323464,
3 000 р.,5 000 р.,15 000 р.,3 000 р.,5 000 р.,15 000 р.,324637,
4 000 р.,7 000 р.,15 000 р.,5 000 р.,8 000 р.,16 000 р.,324343,Контактов в час: неограничено.
2 500 р.,5 000 р.,12 000 р.,-,5 000 р.,12 000 р.,318833,Контактов в час: до 2.
3 500 р.,7 000 р.,21 000 р.,-,10 000 р.,25 000 р.,319451,
2 000 р.,4 000 р.,10 000 р.,-,5 000 р.,12 000 р.,319445,
4 000 р.,8 000 р.,20 000 р.,4 000 р.,8 000 р.,20 000 р.,324517,Контактов в час: неограничено.За выезд такси оплачивается отдельно
,,,-,7 000 р.,15 000 р.,198234,
8 000 р.,16 000 р.,40 000 р.,15 000 р.,18 000 р.,42 000 р.,322208,Контактов в час: до 2.К выезду такси с Вас в обе стороны! За мкад(до 15 км)+2000!!!В ЧАС НЕ БОЛЕЕ 2 контактов!!!
5 000 р.,10 000 р.,-,-,12 000 р.,30 000 р.,270842,
4 000 р.,8 000 р.,20 000 р.,6 000 р.,8 000 р.,25 000 р.,322260,
3 000 р.,6 000 р.,-,,,,322181,Контактов в час: неограничено.
5 000 р.,8 000 р.,-,5 000 р.,10 000 р.,-,320974,Контактов в час: неограничено.
,,,6 000 р.,8 000 р.,20 000 р.,318633,Контактов в час: до 2.
10 000 р.,20 000 р.,-,25 000 р.,25 000 р.,-,255531,
5 000 р.,10 000 р.,25 000 р.,,,,311359,Контактов в час: неограничено.
,,,4 000 р.,5 500 р.,9 000 р.,323166,
1 500 р.,3 000 р.,8 000 р.,,,,317694,
3 000 р.,6 000 р.,-,10 000 р.,-,,187075,-
,,,7 000 р.,10 000 р.,20 000 р.,298143,Контактов в час: до 2.анал обговаривается
12 000 р.,24 000 р.,60 000 р.,25 000 р.,-,,302384,Контактов в час: до 2.Также работаю в ночном режиме!!!!
3 500 р.,7 000 р.,-,,,,323752,Контактов в час: неограничено.
15 000 р.,30 000 р.,60 000 р.,35 000 р.,65 000 р.,,323293,Контактов в час: до 2.
15 000 р.,30 000 р.,90 000 р.,-,35 000 р.,100 000 р.,322428,
2 500 р.,5 000 р.,12 000 р.,,,,323497,Контактов в час: до 2.
2 500 р.,4 000 р.,-,2 000 р.,4 000 р.,12 000 р.,260315,Контактов в час: неограничено.
,,,3 000 р.,6 000 р.,12 000 р.,308073,Контактов в час: неограничено.Звоните договоримся)))
5 000 р.,10 000 р.,20 000 р.,,,,322347,
3 000 р.,6 000 р.,16 000 р.,5 000 р.,8 000 р.,20 000 р.,322350,Контактов в час: до 2.
3 000 р.,6 000 р.,15 000 р.,-,8 000 р.,18 000 р.,274375,"Выезд по всей Москве, в ближайшее Подмосковье + такси"
2 500 р.,5 000 р.,10 000 р.,4 000 р.,7 000 р.,15 000 р.,314595,Контактов в час: до 2.
3 500 р.,7 000 р.,25 000 р.,5 000 р.,8 000 р.,-,95689,
5 000 р.,10 000 р.,-,,,,303941,
5 000 р.,10 000 р.,20 000 р.,,,,308229,
3 000 р.,6 000 р.,20 000 р.,,,,312068,Контактов в час: до 2.
1 500 р.,3 000 р.,10 000 р.,,,,319342,Контактов в час: до 2.
1 500 р.,3 000 р.,-,6 000 р.,-,,292153,Контактов в час: неограничено.Выезд только к постоянным клиентам
12 000 р.,24 000 р.,60 000 р.,-,25 000 р.,60 000 р.,305266,Контактов в час: неограничено.
2 500 р.,5 000 р.,12 000 р.,2 500 р.,5 000 р.,12 000 р.,323418,Контактов в час: неограничено.
2 500 р.,5 000 р.,12 000 р.,5 000 р.,8 000 р.,15 000 р.,322794,Контактов в час: до 2.Маленький сюрприз
5 000 р.,10 000 р.,60 000 р.,20 000 р.,-,,303509,Контактов в час: до 2.
3 500 р.,7 000 р.,15 000 р.,-,10 000 р.,20 000 р.,286909,
,,,8 000 р.,10 000 р.,30 000 р.,304927,Контактов в час: 1.НОЧЬ - 6 часов. + такси
,,,14 000 р.,-,,314246,Контактов в час: неограничено.
5 000 р.,10 000 р.,25 000 р.,-,11 000 р.,26 000 р.,291650,Контактов в час: неограничено.
3 000 р.,-,-,,,,313334,
1 500 р.,3 000 р.,8 000 р.,,,,311544,Контактов в час: до 2.
,,,3 000 р.,4 000 р.,7 500 р.,312909,
,,,5 000 р.,8 000 р.,17 000 р.,306340,Контактов в час: до 2.за удовольствие нужно быть щедрым
7 000 р.,15 000 р.,-,,,,155316,"Контактов в час: неограничено.В стоимость часа входит: классический секс, анальный секс, МБР, куни, окончание в рот, окончание на грудь, игрушки, ролевые игры. Без доп."
2 500 р.,5 000 р.,12 000 р.,,,,322636,
,,,2 000 р.,-,-,318501,
5 000 р.,10 000 р.,30 000 р.,20 000 р.,-,,305565,Экспресс 4000 - 20минут
7 000 р.,14 000 р.,45 000 р.,20 000 р.,45 000 р.,,310363,Контактов в час: неограничено.
6 000 р.,12 000 р.,40 000 р.,15 000 р.,-,,323295,ТОЛЬКО СЛАВЯН МОГУТ БЫТЬ У МЕНЯ В ГОСТЯХ
3 000 р.,6 000 р.,15 000 р.,10 000 р.,25 000 р.,,319134,Контактов в час: неограничено.Экспресс 2000₽
1 500 р.,3 000 р.,6 000 р.,,,,322379,Контактов в час: до 2.
4 000 р.,8 000 р.,-,,,,291254,"Контактов в час: до 2.ЭКСПРЕСС-2000, с МБР+500!!!"
10 000 р.,20 000 р.,60 000 р.,-,21 000 р.,60 000 р.,152476,Контактов в час: до 2.
3 000 р.,6 000 р.,8 000 р.,-,7 000 р.,10 000 р.,134698,Контактов в час: до 2.Есть полуторачасовая программа4000т
,,,5 500 р.,15 000 р.,,321354,Плюс 500р за такси
,,,-,10 000 р.,20 000 р.,323390,"Выезд! Одинцовский и Наро-фоминский районы, а так же Новая Москва."
3 000 р.,6 000 р.,25 000 р.,5 000 р.,10 000 р.,25 000 р.,295886,Контактов в час: до 2.
3 000 р.,6 000 р.,15 000 р.,,,,319650,Контактов в час: до 2.экспресс 2000
6 000 р.,12 000 р.,36 000 р.,-,12 000 р.,36 000 р.,321923,
6 000 р.,12 000 р.,-,,,,322497,Контактов в час: неограничено.
,,,5 000 р.,9 000 р.,20 000 р.,280716,"Обожаю трахаться в попу, поэтому анал входит в оплату и мбр, тоже"
2 000 р.,4 000 р.,13 000 р.,6 000 р.,15 000 р.,,306807,Контактов в час: до 2.
3 000 р.,6 000 р.,-,-,-,,317940,Контактов в час: до 2.
,,,3 500 р.,5 000 р.,8 000 р.,324389,Контактов в час: неограничено.
,,,3 500 р.,7 000 р.,16 000 р.,310988,Контактов в час: 1.
3 000 р.,6 000 р.,15 000 р.,8 000 р.,18 000 р.,,195749,4 500 р.
5 000 р.,10 000 р.,-,-,-,,254185,Контактов в час: до 2.
3 000 р.,6 000 р.,15 000 р.,,,,293215,Контактов в час: до 2.
3 000 р.,6 000 р.,-,,,,262568,Контактов в час: до 2.
,,,4 000 р.,6 000 р.,9 000 р.,303959,Контактов в час: неограничено.
5 000 р.,10 000 р.,25 000 р.,7 000 р.,12 000 р.,35 000 р.,318952,
6 000 р.,12 000 р.,30 000 р.,12 000 р.,30 000 р.,,321089,Контактов в час: неограничено.
2 500 р.,5 000 р.,14 000 р.,-,10 000 р.,18 000 р.,316003,Контактов в час: до 2.АНТИКРИЗИСНЫЙ СПОНСОРСКИЙ ВЗНОС. к вам- на ночь МБР-ВКЛЮЧЕН)
15 000 р.,25 000 р.,60 000 р.,-,30 000 р.,70 000 р.,288398,"Контактов в час: до 2.Анал - Класика -МБР! Работаю и ночью -заранее договариваться, Дальние поездки дополнительно оплачиваются.  Час 10000 без Анального секса!  Кто был у меня- Цена прежняя!"
,,,5 000 р.,7 000 р.,16 000 р.,314856,Контактов в час: неограничено.
,,,3 000 р.,4 500 р.,8 000 р.,321024,
2 000 р.,-,-,2 000 р.,-,-,323068,
3 500 р.,6 500 р.,25 000 р.,,,,323008,Контактов в час: неограничено.вознаграждение за встречи
15 000 р.,30 000 р.,60 000 р.,15 000 р.,30 000 р.,60 000 р.,313930,Контактов в час: до 2.
10 000 р.,20 000 р.,-,-,-,,164046,Контактов в час: неограничено.Все включено в час все включено
3 000 р.,-,-,,,,321504,Контактов в час: до 2.
-,-,-,,,,319910,
10 000 р.,20 000 р.,50 000 р.,12 000 р.,25 000 р.,60 000 р.,308700,Контактов в час: до 2.
5 000 р.,8 000 р.,20 000 р.,-,8 000 р.,20 000 р.,193117,
2 500 р.,5 000 р.,12 000 р.,2 500 р.,5 000 р.,12 000 р.,292157,
1 500 р.,3 000 р.,10 000 р.,,,,324850,Контактов в час: до 2.
5 000 р.,10 000 р.,-,-,10 000 р.,-,323043,
6 000 р.,12 000 р.,-,-,14 000 р.,-,322597,
5 000 р.,8 000 р.,-,-,-,-,279885,"Контактов в час: неограничено.5000 часик все включено, тоесть анал мбр в эту сумму."
10 000 р.,20 000 р.,-,25 000 р.,-,,298217,Контактов в час: неограничено.
4 000 р.,8 000 р.,20 000 р.,,,,322189,Контактов в час: до 2.
,,,3 500 р.,4 500 р.,7 500 р.,324294,Услуги такси оплачиваются отдельно
3 000 р.,5 000 р.,15 000 р.,-,6 000 р.,18 000 р.,190967,
,,,3 000 р.,5 000 р.,12 000 р.,321046,Контактов в час: неограничено.
4 000 р.,8 000 р.,20 000 р.,-,12 000 р.,25 000 р.,176885,
3 000 р.,6 000 р.,15 000 р.,-,8 000 р.,18 000 р.,147794,
3 000 р.,6 000 р.,12 000 р.,,,,295983,
,,,8 000 р.,10 000 р.,25 000 р.,281478,Контактов в час: до 2.Выезд АвтоЛеди с8до21 в любой удобный для вас район! Соответствую 100% Инди-ка
3 500 р.,7 000 р.,15 000 р.,3 500 р.,7 000 р.,15 000 р.,303351,
,,,3 500 р.,5 000 р.,9 000 р.,322452,
4 000 р.,8 000 р.,30 000 р.,,,,321357,Контактов в час: неограничено.Индивидуально!!!
3 000 р.,6 000 р.,-,4 000 р.,7 000 р.,-,320740,
2 000 р.,4 000 р.,10 000 р.,,,,306608,
5 000 р.,-,25 000 р.,-,12 000 р.,30 000 р.,310274,
,,,4 000 р.,6 000 р.,10 000 р.,324321,Контактов в час: неограничено.
3 000 р.,8 000 р.,12 000 р.,5 000 р.,10 000 р.,13 000 р.,302114,"Контактов в час: до 2.на выезд все включено, плюс такси"
10 000 р.,15 000 р.,45 000 р.,20 000 р.,-,,318695,Контактов в час: неограничено.
3 000 р.,6 000 р.,20 000 р.,-,8 000 р.,20 000 р.,290387,
2 500 р.,5 000 р.,15 000 р.,4 000 р.,7 000 р.,18 000 р.,309363,"Хорошим клиентам, хорошие скидки!)"
,,,-,8 000 р.,20 000 р.,318670,
3 000 р.,6 000 р.,15 000 р.,,,,298135,Контактов в час: до 2.Экспресс 2000
4 000 р.,7 000 р.,20 000 р.,-,8 000 р.,25 000 р.,272355,
,,,3 500 р.,5 000 р.,8 000 р.,313676,Контактов в час: до 2.
3 000 р.,-,-,,,,316870,"Контактов в час: 1.По допам звоните, договоримся"
,,,3 500 р.,6 000 р.,9 000 р.,314098,
15 000 р.,30 000 р.,-,30 000 р.,-,,317479,Контактов в час: до 2.
5 000 р.,10 000 р.,30 000 р.,-,15 000 р.,35 000 р.,324417,Контактов в час: до 2.
,,,3 000 р.,5 000 р.,12 000 р.,317962,
,,,3 000 р.,4 500 р.,8 000 р.,308732,
2 500 р.,5 000 р.,-,-,8 000 р.,-,319932,Контактов в час: до 2.
10 000 р.,20 000 р.,60 000 р.,15 000 р.,25 000 р.,60 000 р.,312961,
3 500 р.,6 000 р.,15 000 р.,,,,301456,Контактов в час: до 2.
2 000 р.,4 000 р.,10 000 р.,,,,313637,Контактов в час: до 2.
5 000 р.,10 000 р.,25 000 р.,10 000 р.,15 000 р.,30 000 р.,307742,"Контактов в час: до 2.УВАЖАЕМЫЕ КАВАЛЕРЫ, ВНИМАТЕЛЬНО ЧИТАЕМ АНКЕТУ"
15 000 р.,25 000 р.,60 000 р.,20 000 р.,30 000 р.,70 000 р.,269392,"Контактов в час: до 2.Секс по полной программе!!  Без АС час 10000 ( МБР, ОВР, игрушки, фистинг, анилингус)  Кто был у меня - Цена прежняя, люблю Вас!!!"
6 000 р.,12 000 р.,50 000 р.,20 000 р.,50 000 р.,,316115,Контактов в час: до 2.
,,,3 000 р.,4 500 р.,7 500 р.,323151,
3 000 р.,6 000 р.,-,,,,304225,
2 500 р.,5 000 р.,15 000 р.,,,,297132,Контактов в час: до 2.
3 000 р.,5 000 р.,-,,,,262262,Контактов в час: до 2.
,,,10 000 р.,18 000 р.,35 000 р.,322418,
8 000 р.,16 000 р.,35 000 р.,13 000 р.,18 000 р.,38 000 р.,323252,"Контактов в час: до 2.К выезду такси с Вас в обе стороны, за МКАД (до 15 км)+1000!! Целуюсь -бонус (+1000)!! ТОЛЬКО ПОСТОЯННЫМ ГОСТЯ ЦЕНА 7000!!!"
3 000 р.,6 000 р.,-,,,,248232,Контактов в час: неограничено.
6 000 р.,10 000 р.,30 000 р.,8 000 р.,12 000 р.,30 000 р.,166478,
3 000 р.,6 000 р.,15 000 р.,,,,324993,
3 000 р.,6 000 р.,-,,,,322660,Контактов в час: неограничено.ОБОЖАЮ СЕКС
6 000 р.,12 000 р.,30 000 р.,,,,275574,Контактов в час: до 2.
1 500 р.,3 000 р.,9 000 р.,,,,317354,
10 000 р.,15 000 р.,30 000 р.,10 000 р.,15 000 р.,30 000 р.,298498,"Контактов в час: неограничено.Позвони мне, я жду))"
5 000 р.,10 000 р.,25 000 р.,-,10 000 р.,25 000 р.,307853,
,,,6 000 р.,15 000 р.,,274525,-
7 000 р.,14 000 р.,35 000 р.,20 000 р.,40 000 р.,,319965,-
3 000 р.,5 000 р.,20 000 р.,-,10 000 р.,25 000 р.,264567,Возможно многое при взаимной симпатии!!!И при наличии финансов!!!!!ЭКСПРЕСС ЕСТЬ --звоните!
